2023-07-07 01:35:44 FINE  1:35:44:185 793 600 App stop 
2023-07-07 01:38:00 FINE  1:38:0:135 470 800 App stop 
2023-07-07 01:38:04 FINE  1:38:4:420 641 100 App stop 
2023-07-07 01:42:53 FINE  1:42:53:752 041 500 App start 
2023-07-07 01:42:53 FINE  1:42:53:871 204 000 App stop 
2023-07-07 01:53:26 FINE  1:53:26:933 402 600 App start 
2023-07-07 01:53:27 FINE  1:53:27:30 528 000 App stop 
2023-07-07 01:53:38 FINE  1:53:38:362 009 900 App start 
2023-07-07 01:53:39 FINE  1:53:39:650 008 900 App stop 
2023-07-07 12:52:24 FINE  12:52:24:400 580 100 App start 
2023-07-07 12:52:25 FINE  12:52:25:535 048 600 App stop 
2023-07-07 14:24:38 FINE  14:24:38:100 297 100 App start 
2023-07-07 14:24:39 FINE  14:24:39:235 824 500 App stop 
2023-07-07 14:25:11 FINE  14:25:11:461 617 200 App start 
2023-07-07 14:25:12 FINE  14:25:12:604 359 000 App stop 
2023-07-07 14:25:31 FINE  14:25:31:792 080 900 App start 
2023-07-07 14:25:32 FINE  14:25:32:916 664 300 App stop 
2023-07-07 14:26:06 FINE  14:26:6:347 285 700 App start 
2023-07-07 14:26:06 FINE  14:26:6:387 289 900 App stop 
2023-07-07 14:31:07 FINE  14:31:7:293 687 600 App start 
2023-07-07 14:31:08 FINE  14:31:8:418 808 700 App stop 
